[null],included chess engine(s),Can open/save PGN,Can import UCI[4] engines,Levels,3D or Animated pieces,Variants,Multiplayer
Aquarium,Crafty  Delfi  Rybka  Spike,Yes,Yes,multivariation[5]  uci_elo[6],No,Chess960,No
Battle Chess,n/a,No,No,[null],Yes,No,[null]
Battle Chess: Game of Kings,n/a,No,No,[null],Yes,No,[null]
Battle vs. Chess,Fritz,No,No,levels 1-9,Yes,[null],[null]
Chessaria: The Tactical Adventure,Chessaria AICE,No,No,[null],Yes,Yes,Yes
Chess Assistant,Dragon  Rybka,Yes,Yes,multivariation  uci_elo[7],No,Chess960,No
Chessbase,Fritz,Yes,Yes,uci_elo[8] for analysis but no timed games,Yes,Chess960,No
Chessmaster,The King,Yes,No,Personalities with Elo ratings,Yes,No,no longer supported
Chess Titans,n/a,No,No,Yes,No,No,[null]
ChessV,[null],[null],[null],[null],[null],[null],[null]
Fritz,Rybka  earlier Pandix or Fritz,Yes,Yes,Friend Mode[9]  Handicap and Fun[10]  uci_elo[11],Yes,Chess960,[null]
Fritz and Chesster,Koenig Schwarz,[null],[null],[null],[null],[null],[added]
GNOME Chess,[null],[null],[null],[null],[null],[null],[added]
GNU Chess,GNU chess,Yes,No,[null],No,Knightmate  Capablanca  Gothic  Shatranj  Courier  Cylinder  Berolina,No
Hiarcs Chess Explorer,Hiarcs,Yes,Yes,uci_elo[12],No,No,No
Chessbase Houdini,Houdini,Yes,Yes,Friend Mode[13]  Handicap and Fun[14]  uci_elo[15],Yes,Chess960,Yes
Chessbase Junior,Junior,Yes,Yes,Friend Mode  Handicap and Fun  uci_elo[16],Yes,Chess960,Yes
Chessbase Komodo,Komodo,Yes,Yes,Friend Mode[17]  Handicap and Fun[18]  uci_elo[19],Yes,Chess960,Yes
Playchess,none,Yes,No,Other players have Elo rating,No,Chess960,Yes
Play Magnus,Glaurung,Yes,No,can choose Magnus' age,No,No,No
Pure Chess,n/a,No,No,[null],Yes,[null],[null]
pyChess,Pychess engine  Stockfish,Yes,Yes,[null],[null],[null],Yes
Chessbase Rybka,Rybka,Yes,Yes,Friend Mode  Handicap and Fun  uci_elo[20],Yes,Chess960,Yes
Shredder UCI GUI,Shredder,Yes,Yes,uci_elo[21],No,Chess960,No
Wii Chess,Loop Express,No,No,[null],[null],[null],[null]
Winboard/xBoard,Crafty,Yes,via UCI2WB,No,No,Knightmate  Capablanca  Gothic  Shatranj  Courier  Cylinder  Berolina,Yes
