Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB limit<ref name="ubuntuforums">ubuntuforums.org: 2007  2GB data transfer limitation? Quote: "...The common 2 GB limit is actually a bug in many FTP clients. If he is using Windows  try the latest FileZilla..."  kernel.org: FAQ: I can't download a file with size greater than 2GB  is your website broken?  Comparison of file systems#Limits</ref>,Interface
cURL,Daniel Stenberg,1998,[null],MIT,[null],CLI
Cyberduck,David V. Kocher,2001,6.0.4,GPL,[null],GUI and CLI
FAR Manager,Eugene Roshal / FAR Group,1996,[null],BSD,[null],TUI
*FileZilla,Community,2001 (January),[null],GPL,[null],GUI
FireFTP,Mime Čuvalo,2004 (September),[null],MPL 1.1  Charityware,(since version 2.0.5),Waterfox  Firefox pre-version 57 addon
Fugu,University of Michigan Research Systems Unix Group,2003,1.2.0,BSD,[null],GUI
gFTP,Brian Masney,1998,2.0.19,GPL,[null],GTK+
lftp,Alexander V. Lukyanov,1996 (August),[null],GPL,[null],CLI
Macfusion,Michael Gorbach,0 ?,2.0.4,BSD,[null],GUI
NcFTP,NcFTP Software Inc.,1991,3.2.6,Clarified Artistic License,[null],CLI
net2ftp,David C. Gartner,2003 (January),0.98,GPL,[null],Web application
tnftp,Luke Mewburn,1999,20151004,BSD,[null],CLI
WinSCP,Martin Přikryl,2000,[null],GPL,[null],GUI and CLI
